Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Erick Green,2015,2016,2,52,3.1,0.7,0.8,37.7,28.8,85.7,42.0,9.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ken Green,1986,1986,1,7,4.4,3.9,0.3,48.1,23.4,55.6,48.1,19.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kenny Green,1986,1987,2,60,4.4,1.7,0.3,41.2,0.0,72.1,41.2,8.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Litterial Green,1993,1999,7,148,2.9,0.5,1.2,42.0,7.7,66.5,42.3,11.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Rickey Green,1978,1992,15,946,9.4,1.9,5.5,46.9,20.7,80.7,47.1,15.3,47.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Sean Green,1992,1994,3,84,4.2,1.0,0.5,38.6,24.6,62.0,40.5,9.7,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Sidney Green,1984,1993,10,679,7.5,6.1,0.9,45.4,3.7,73.8,45.5,12.1,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Taurean Green,2008,2008,1,17,1.6,0.6,0.6,28.0,18.2,91.7,32.0,7.0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Willie Green,2004,2015,12,731,8.3,1.8,1.4,42.5,34.6,76.5,47.1,11.0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Donté Greene,2009,2012,4,253,6.1,2.4,0.7,40.6,30.4,70.1,46.3,10.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Orien Greene,2006,2011,6,131,2.5,1.5,1.2,38.7,21.2,64.2,40.4,6.1,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dave Greenwood,1980,1991,12,823,10.2,7.9,2.0,47.7,13.8,76.5,47.8,13.6,46.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Lynn Greer,2007,2007,1,41,4.1,0.7,1.3,43.3,34.6,84.4,49.6,14.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
